epoch,train_accuracy,val_accuracy,train_loss,val_loss
1,0.7310,0.7938,0.3755,0.3512
2,0.8002,0.8166,0.3183,0.3293
3,0.8195,0.8452,0.3042,0.3050
4,0.8373,0.8523,0.2918,0.3047
5,0.8492,0.8577,0.2827,0.2916
6,0.8560,0.8672,0.2774,0.2879
7,0.8607,0.8718,0.2730,0.2742
8,0.8649,0.8661,0.2691,0.2895
9,0.8692,0.8680,0.2661,0.2929
10,0.8719,0.8868,0.2639,0.2644
1,0.6929,0.8190,0.3880,0.2945
2,0.8135,0.8309,0.3076,0.2902
3,0.8310,0.8477,0.2921,0.2723
4,0.8392,0.8503,0.2848,0.2750
5,0.8491,0.8642,0.2758,0.2579
6,0.8573,0.8686,0.2704,0.2670
7,0.8655,0.8665,0.2643,0.2682
8,0.8693,0.8818,0.2604,0.2458
9,0.8738,0.8797,0.2585,0.2585
10,0.8750,0.8924,0.2557,0.2347
1,0.7208,0.7866,0.3859,0.3745
2,0.7916,0.7884,0.3220,0.3635
3,0.8085,0.8384,0.3054,0.3120
4,0.8270,0.8290,0.2943,0.3223
5,0.8342,0.8622,0.2869,0.2765
6,0.8460,0.8662,0.2775,0.2770
7,0.8522,0.8639,0.2739,0.2857
8,0.8559,0.8605,0.2702,0.3054
9,0.8598,0.8710,0.2671,0.2864
10,0.8641,0.8739,0.2642,0.2801
1,0.8194,0.8291,0.3862,0.2844
2,0.8094,0.8201,0.3216,0.2756
3,0.8173,0.8244,0.3064,0.2710
4,0.8271,0.8437,0.2942,0.2529
5,0.8365,0.8505,0.2844,0.2554
6,0.8451,0.8590,0.2767,0.2489
7,0.8539,0.8610,0.2716,0.2556
8,0.8567,0.8726,0.2671,0.2414
9,0.8579,0.8786,0.2664,0.2381
10,0.8642,0.8764,0.2627,0.2416
1,0.7248,0.7826,0.3901,0.3692
2,0.7905,0.7815,0.3234,0.3753
3,0.8094,0.8103,0.3069,0.3376
4,0.8253,0.8247,0.2932,0.3256
5,0.8339,0.8299,0.2846,0.3223
6,0.8427,0.8401,0.2771,0.3166
7,0.8467,0.8604,0.2736,0.2843
8,0.8545,0.8442,0.2695,0.3137
9,0.8569,0.8523,0.2669,0.3042
10,0.8626,0.8545,0.2619,0.3088
1,0.6248,0.7968,0.6276,0.4831
2,0.7993,0.8610,0.4405,0.3202
3,0.8337,0.8539,0.3858,0.3135
4,0.8490,0.8538,0.3609,0.3020
5,0.8564,0.8479,0.3431,0.3094
6,0.8602,0.8480,0.3313,0.3043
7,0.8625,0.8396,0.3267,0.3089
8,0.8664,0.8400,0.3239,0.3042
9,0.8686,0.8386,0.3177,0.3042
10,0.8696,0.8390,0.3139,0.2994
1,0.5870,0.7907,0.6583,0.5021
2,0.8089,0.8232,0.4657,0.3132
3,0.8365,0.8235,0.3924,0.3218
4,0.8497,0.8378,0.3628,0.3115
5,0.8556,0.8453,0.3511,0.3145
6,0.8629,0.8560,0.3312,0.3049
7,0.8670,0.8532,0.3231,0.3092
8,0.8701,0.8561,0.3173,0.3072
9,0.8702,0.8591,0.3173,0.3022
10,0.8719,0.8545,0.3130,0.3097
1,0.5377,0.9463,0.8453,0.2957
2,0.7468,0.8619,0.5044,0.3864
3,0.8023,0.8754,0.4329,0.3497
4,0.8227,0.8779,0.4025,0.3236
5,0.8321,0.8766,0.3783,0.3065
6,0.8412,0.8775,0.3655,0.2878
7,0.8466,0.8774,0.3560,0.2765
8,0.8525,0.8750,0.3430,0.2769
9,0.8558,0.8776,0.3420,0.2696
10,0.8589,0.8789,0.3360,0.2615
1,0.6891,0.9070,0.5902,0.4462
2,0.8034,0.8915,0.4811,0.4399
3,0.8274,0.8939,0.4336,0.3550
4,0.8439,0.8853,0.3817,0.2860
5,0.8479,0.8730,0.3580,0.2780
6,0.8561,0.8731,0.3471,0.2625
7,0.8598,0.8680,0.3325,0.2657
8,0.8640,0.8699,0.3278,0.2596
